,Cleaned Text
0,di saat semua cowok berusaha melacak perhatian gue. kamu lantas remehkan perhatian yang gue kasih khusus ke elo. basic kamu cowok bego !
1,siapa yang telat memberi tau elu?edan sarap gue bergaul dengan cigax jifla calis sama siapa itu licew juga 
2,"kadang aku berfikir, kenapa aku tetap percaya pada tuhan padahal aku selalu jatuh berkali kali. kadang aku merasa tuhan itu meninggalkan aku sendirian. ketika orang tuaku berencana berpisah, ketika kakakku lebih memilih jadi kristen. ketika aku anak ter"
3,aku itu aku ku tau matamu sipit tapi dilihat dari mana itu aku 
4,kaum cebong kafir sudah kelihatan dongoknya dari awal tambah dungu lagi haha 
5,ya bani taplak dan kawan kawan 
6,deklarasi pilihan kepala daerah 2018 aman dan anti hoaks warga dukuh sari jabon
7,gue baru saja selesai re watch aldnoah zero! paling kampret memang endingnya! 2 karakter utama cowoknya kena friendzone bray! xd uniform resource locator
8,"nah admin belanja satu lagi po terbaik nak makan ais kepal milo, ais kepal horlicks atau cendol toping kau kaw. ? doket mana itu ? gerai rozak meuaku taipan 2 depan kembar baby amp romantika bank islam senawang ?"
9,enak lagi kalau sambil ngewe 
10,"setidaknya gue punya jari tengah buat lu, sebelum gue ukur nyali sama bacot kamu "
11,"banci kaleng malu tidak bisa jawab peanyaan kami dari 2 hari lalu, nyungsep koe uniform resource locator"
12,"kalau belajar ekonomi mestinya jago memprivatisasi hati orang. duh, ironi "
13,"aktor huru hara 98 prabowo si ingin lengserkan pemerintahan jokowi, nyata"
14,bu guru enakan jadi jablay atau guru sekolah dasar sih. kayaknya menikmati jadi pecun ini guru. 
15,"lawan bicara gue tidak intelek kayak loe, yang otak tidak punya. tentang kencing onta, gue mengakui hadis nabi dan itu sahih. kafir kayak kamu pasti menolak, makanya kamu ahlunnar. "
16,belakangan ini kok pikiran ampas banget ya 
17,ari sama beki adalah rapi monyet 
18,jadi cowok itu harus gantle kalau tidak gantle itu namanya banci ! 
19,alga mnr bom 
20,"anjing ya tapi gue jarang ngambek, takut wkwk gue kan bucin. "
21,kalau kamu noob pasti peluang disakiti nya lebih gede sih 
22,"joko widodo dinilai sebagai presiden terlemah dalam sejarah indonesia. hal ini terjadi bukan saja karena jokowi tidak memiliki modal dukungan politik yang cukup, melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi tidak"
23,pelajar sama kecamatan bilah hilir deklarasi anti hoaks amp pilihan kepala daerah 2018 damai
